part_category,current_stock,previous_month_demand,average_monthly_demand,vehicle_sales,seasonal_index,lead_time_days,next_month_demand
4,201,44,142,786,1.18,3,160
0,194,105,203,259,1.21,26,188
3,209,291,79,988,1.27,44,262
4,389,231,173,342,1.26,5,203
4,82,141,98,140,1.36,38,150
2,179,223,205,401,1.09,37,224
0,98,364,303,773,1.13,41,339
1,167,173,345,195,0.96,20,226
4,348,46,178,164,0.78,12,108
4,42,145,57,864,1.23,24,193
3,182,376,110,632,0.73,8,244
0,31,311,72,408,0.92,38,217
0,478,339,275,780,0.78,30,304
2,369,367,345,859,0.85,22,359
2,136,73,211,423,1.21,24,175
0,115,134,94,605,1.2,32,166
3,67,52,46,109,1.04,24,92
2,246,31,342,375,0.77,38,215
0,381,338,138,635,1.05,41,246
0,300,376,74,277,0.98,42,221
2,442,87,94,992,1.28,28,178
3,185,297,119,974,1.16,33,282
4,153,227,243,331,1.09,15,239
2,249,55,316,456,1.09,3,187
1,117,368,125,270,1.47,19,245
4,488,352,253,553,1.31,39,318
2,109,239,60,211,1.1,7,165
1,249,291,43,451,1.08,25,189
2,270,176,57,599,0.72,10,146
0,47,323,326,650,1.45,20,326
1,244,194,220,636,0.96,8,234
2,238,395,289,299,0.9,33,314
4,144,53,46,813,1.5,36,154
3,81,93,46,722,1.27,34,173
3,41,388,303,777,0.74,32,347
2,24,136,71,521,0.75,12,140
0,251,144,88,903,0.72,24,193
1,63,322,200,450,1.18,6,272
4,480,100,228,825,0.76,18,209
0,137,220,110,283,1.45,23,185
4,333,135,177,322,1.45,30,194
3,343,103,249,574,1.14,6,177
1,257,386,177,600,1.19,36,277
3,444,103,158,771,0.93,21,184
4,73,64,62,367,0.75,39,116
0,132,279,180,885,1.29,24,278
0,141,350,288,396,0.78,25,304
3,84,77,234,580,0.77,31,200
4,161,291,316,938,0.95,37,335
0,170,230,79,585,0.71,8,176
3,387,337,43,713,1.05,23,218
0,164,76,209,917,1.27,3,208
3,440,391,95,977,1.34,22,284
3,390,259,224,549,1.18,36,288
0,452,341,320,475,1.38,39,287
3,70,163,144,277,1.03,14,171
4,492,379,210,583,1.38,18,299
4,314,261,251,926,1.11,25,295
0,491,76,86,538,0.88,19,123
1,190,371,318,413,1.46,9,335
1,477,324,102,196,0.92,15,182
2,302,141,290,450,0.72,19,218
0,54,231,244,313,0.89,24,229
4,216,173,83,979,0.99,41,215
3,86,231,264,574,0.98,25,272
4,471,387,100,223,1.12,18,222
0,166,362,225,160,1.41,30,270
0,126,109,337,865,0.93,35,280
4,285,389,335,938,1.12,20,369
1,224,192,310,786,0.97,23,268
3,66,290,193,211,1.36,11,221
4,411,312,213,188,0.83,39,252
0,425,208,133,278,0.78,39,165
0,376,198,325,776,1.1,9,283
0,316,198,187,788,1.24,16,213
0,213,349,279,854,1.34,13,352
0,280,172,151,187,1.17,41,159
4,270,133,269,237,1.32,4,215
3,99,163,109,910,1.01,10,220
4,59,102,267,935,0.73,15,242
4,141,174,54,753,0.79,26,174
4,238,72,72,195,0.73,12,100
1,96,63,149,161,0.96,25,160
1,71,297,189,150,1.1,34,234
4,428,58,260,722,0.99,37,236
1,199,240,151,861,1.15,6,254
0,300,318,45,668,1.08,7,204
3,271,298,140,335,1.24,6,209
4,372,195,176,781,1.23,41,258
4,375,101,208,153,0.95,30,147
4,162,374,239,845,0.98,24,355
0,426,339,116,902,1.17,36,263
3,198,256,229,746,1.18,27,251
4,420,62,235,891,0.95,12,209
3,214,43,280,627,0.96,23,219
4,73,146,201,521,1.26,32,225
4,384,88,291,390,1.22,3,219
2,34,348,108,929,0.81,28,264
0,390,106,260,727,1.05,23,201
2,40,134,54,271,1.41,4,132
1,119,391,71,961,0.73,13,264
0,309,332,308,153,1.38,21,276
0,471,110,187,628,0.83,16,185
3,216,171,232,271,1.11,14,199
2,77,220,227,697,1.04,29,267
2,131,275,255,471,0.71,19,263
3,450,376,116,493,1.43,23,235
2,368,352,95,704,1.06,36,232
3,68,391,53,780,1.46,6,268
0,204,45,308,442,0.93,17,218
4,146,117,109,997,1.39,5,218
2,105,238,218,548,1.44,41,246
0,426,48,181,244,1.15,9,86
4,316,161,90,105,0.86,37,146
3,106,86,168,282,1.25,10,161
0,332,375,65,721,1.14,15,248
0,218,53,94,585,1.46,28,129
0,49,84,83,404,1.05,37,135
1,235,102,295,533,0.91,9,227
0,108,84,215,854,0.81,11,198
3,137,240,326,614,1.26,39,308
2,441,164,175,152,1.48,15,172
4,360,367,102,144,0.72,11,210
3,84,126,228,533,1.29,33,229
3,428,228,328,463,1.44,5,292
2,295,274,205,865,0.76,39,268
0,439,261,45,624,0.79,39,157
0,378,324,134,781,1.25,38,281
3,182,104,326,626,1.22,14,249
0,276,217,200,410,0.76,6,192
0,274,326,335,691,1.37,20,332
1,365,349,197,659,1.12,16,277
4,139,258,43,748,1.43,43,222
2,179,271,310,270,1.4,29,285
3,137,349,276,677,1.35,42,339
2,162,261,261,356,1.11,34,266
0,97,381,340,811,0.9,32,334
1,37,77,100,818,1.1,6,187
0,471,158,320,662,0.78,4,236
3,55,71,112,952,1.23,3,194
0,446,63,340,583,0.81,27,199
1,21,204,99,122,1.11,10,149
4,393,113,210,645,0.74,44,199
2,177,180,284,799,0.94,7,285
2,268,192,64,191,0.89,42,133
2,155,259,60,194,1.2,30,180
3,255,379,303,345,1.33,6,310
1,236,344,58,859,0.75,4,221
3,274,169,230,574,1.38,19,235
4,208,150,330,978,1.39,16,325
2,277,315,230,885,0.97,15,276
2,416,75,189,599,1.23,24,163
0,228,229,169,711,1.02,7,200
1,193,186,237,397,0.82,7,197
4,83,97,217,181,1.12,31,175
2,192,258,195,458,0.77,44,218
1,80,148,87,633,1.4,13,168
2,107,98,245,263,1.44,42,181
2,477,271,269,299,1.36,16,242
2,62,94,259,113,1.15,16,199
3,251,278,63,760,1.15,5,220
1,420,89,257,909,1.49,20,239
3,477,190,266,844,0.9,23,251
2,90,328,96,441,0.76,30,202
4,98,114,303,634,1.15,8,241
0,198,314,202,964,0.96,10,286
0,286,297,186,632,0.96,20,258
2,480,363,264,366,0.71,4,281
2,119,92,198,404,1.18,8,186
3,98,294,208,754,0.91,29,277
2,141,376,136,501,0.85,43,263
4,439,312,327,853,0.73,26,329
2,34,99,340,877,0.99,8,272
0,202,334,80,132,1.4,44,224
0,77,69,267,750,0.97,24,198
4,95,247,47,432,1.24,32,190
0,460,214,154,567,1.31,10,214
4,20,226,340,338,0.96,26,272
1,174,222,94,431,1.36,5,175
0,459,41,156,397,1.25,28,123
1,311,218,108,145,1.15,10,152
3,54,376,265,804,0.7,41,322
2,243,191,183,228,0.73,4,183
3,486,132,223,438,1.49,30,217
3,212,398,332,273,1.33,7,339
2,273,66,201,244,1.45,31,155
3,275,209,267,436,1.42,23,259
4,337,219,70,926,0.72,43,201
2,109,206,106,949,1.33,30,232
0,423,371,333,443,1.06,17,339
2,494,186,306,554,1.33,5,256
4,88,390,243,987,0.71,27,337
1,412,54,157,311,0.93,20,126
4,412,301,101,950,1.3,4,239
2,375,249,304,195,1.33,26,244
3,198,119,283,303,1.2,11,204
1,245,114,114,404,0.94,12,134
4,422,296,222,133,0.95,2,238
0,93,265,231,834,1.47,17,297
1,417,256,188,869,1.05,11,257
2,461,48,327,445,1.06,5,188
2,347,251,78,852,1.14,20,209
2,183,393,119,795,1.03,11,282
0,288,36,69,821,1.14,7,117
1,44,203,254,822,1.05,22,270
0,467,212,239,616,1.36,4,241
2,184,361,346,199,1.43,44,326
1,47,134,208,931,1.45,22,252
2,401,205,86,647,1.15,44,211
2,335,295,179,911,1.05,39,278
3,318,52,67,963,1.26,44,180
2,45,326,247,268,1.37,25,289
3,380,334,249,461,1.15,20,267
2,325,296,305,273,1.26,32,270
3,400,269,145,145,1.3,5,184
3,417,306,136,969,1.24,38,266
1,121,319,62,930,1.3,15,246
1,121,364,168,938,0.87,2,299
3,463,188,187,895,1.1,12,252
1,274,198,273,683,1.17,12,263
2,230,266,273,569,0.7,2,259
0,157,101,83,992,1.38,30,160
2,326,346,128,597,1.19,6,247
2,381,315,198,678,0.8,38,268
3,21,263,143,290,1.35,21,226
2,285,141,47,772,1.27,32,193
1,496,158,302,837,1.31,16,280
4,154,190,266,710,1.01,7,276
2,154,275,201,548,1.38,9,248
